invoice_id,branch,city,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,total_revenue,profit,dates,,category,avg rating,,
1,WALM003,San Antonio,Health and beauty,74.69,7,0019-01-05,13:08:00,Ewallet,9.1,0.48,522.83,250.9584,0019-01-05,,health and beauty,7,1274,0019-01-05
2,WALM048,Harlingen,Electronic accessories,15.28,5,0019-03-08,10:29:00,Cash,9.6,0.48,76.4,36.672,0019-03-08,,electronic accessories,5.91,,
3,WALM067,Haltom City,Home and lifestyle,46.33,7,0019-03-03,13:23:00,Credit card,7.4,0.33,324.31,107.0223,0019-03-03,,home and lifestyle,5.74,,
4,WALM064,Bedford,Health and beauty,58.22,8,0019-01-27,20:33:00,Ewallet,8.4,0.33,465.76,153.7008,0019-01-27,,food and beverages,7.11,,
5,WALM013,Irving,Sports and travel,86.31,7,0019-02-08,10:37:00,Ewallet,5.3,0.48,604.17,290.0016,0019-02-08,,sports and travel,6.92,,
6,WALM026,Denton,Electronic accessories,85.39,7,0019-03-25,18:30:00,Ewallet,4.1,0.48,597.73,286.9104,0019-03-25,,fashion and accessories,#DIV/0!,,
7,WALM088,Cleburne,Electronic accessories,68.84,6,0019-02-25,14:36:00,Ewallet,5.8,0.33,413.04,136.3032,0019-02-25,,,,,
8,WALM100,Canyon,Home and lifestyle,73.56,10,0019-02-24,11:38:00,Ewallet,8,0.18,735.6,132.408,0019-02-24,,,,,
9,WALM066,Grapevine,Health and beauty,36.26,2,0019-01-10,17:15:00,Credit card,7.2,0.33,72.52,23.9316,0019-01-10,,,,,
10,WALM065,Texas City,Food and beverages,54.84,3,0019-02-20,13:27:00,Credit card,5.9,0.33,164.52,54.2916,0019-02-20,,,,,
11,WALM013,Irving,Fashion accessories,14.48,4,0019-02-06,18:07:00,Ewallet,4.5,0.48,57.92,27.8016,0019-02-06,,,,,
12,WALM035,San Angelo,Electronic accessories,25.51,4,0019-03-09,17:03:00,Cash,6.8,0.48,102.04,48.9792,0019-03-09,,,,,
13,WALM027,Abilene,Electronic accessories,46.95,5,0019-02-12,10:25:00,Ewallet,7.1,0.48,234.75,112.68,0019-02-12,,,,,
14,WALM035,San Angelo,Food and beverages,43.19,10,0019-02-07,16:48:00,Ewallet,8.2,0.48,431.9,207.312,0019-02-07,,,,,
15,WALM031,Lewisville,Health and beauty,71.38,10,0019-03-29,19:21:00,Cash,5.7,0.48,713.8,342.624,0019-03-29,,,,,
16,WALM008,Corpus Christi,Sports and travel,93.72,6,0019-01-15,16:19:00,Cash,4.5,0.48,562.32,269.9136,0019-01-15,,,,,
17,WALM029,Round Rock,Health and beauty,68.93,7,0019-03-11,11:03:00,Credit card,4.6,0.48,482.51,231.6048,0019-03-11,,,,,
